"Station";"longitude";"latitude";"Matrix";"Substance";"Type";"CR";"Units";"Response";"ConfThresh";"ConfStatus";"Datatype"
"2";20.97167;55.92167;"Water";"PFOS";"Org";2.307692308;"All";"+";"H";"H";"All"
"20";20.8;55.63333;"Sediment";"CD";"HM";3.802517162;"All";"+";"H";"H";"All"
"20";20.8;55.63333;"Sediment";"PB";"HM";0.843859649;"All";"+";"H";"H";"All"
"20";20.8;55.63333;"Water";"PFOS";"Org";1.538461538;"All";"+";"H";"H";"All"
"23b";23.2866666666667;59.3045;"Water";"CS-137";"Rad";1.503528565;"All";"+";"H";"H";"All"
"2WM";19.72463;54.44713;"Water";"CD";"HM";0.25;"All";"+";"H";"H";"All"
"2ZP";14.498;53.981;"Water";"CD";"HM";0.518177698;"All";"+";"H";"H";"All"
"2ZP";14.498;53.981;"Water";"PB";"HM";0.547214355;"All";"+";"H";"H";"All"
"38G9";19.5;54.75;"Biota";"SDX";"Org";0.404231848;"All";"+";"H";"H";"All"
"3ZP";15.065;54.113;"Water";"CD";"HM";0.5;"All";"+";"H";"H";"All"
"3ZP";15.065;54.113;"Water";"PB";"HM";0.595843592;"All";"+";"H";"H";"All"
"40H0";20.5;55.75;"Biota";"SCB6";"Org";0.10609519;"All";"+";"H";"H";"All"
"40H0";20.5;55.75;"Biota";"SCB6";"Org";0.065981081;"All";"+";"H";"H";"All"
"40H0";20.5;55.75;"Biota";"SDX";"Org";0.610484068;"All";"+";"H";"H";"All"
"40H0";20.5;55.75;"Biota";"SDX";"Org";0.352721786;"All";"+";"H";"H";"All"
"473";20.75;55.91667;"Biota";"HG";"HM";1.134425189;"All";"+";"H";"H";"All"
"473";20.75;55.91667;"Biota";"HG";"HM";1.212758057;"All";"+";"H";"H";"All"
"473";20.75;55.91667;"Biota";"HG";"HM";1.670413951;"All";"+";"H";"H";"All"
"473";20.75;55.91667;"Biota";"PB";"HM";2.441968139;"All";"+";"H";"H";"All"
"473";20.75;55.91667;"Biota";"PB";"HM";8.06179637;"All";"+";"H";"H";"All"
"473";20.75;55.91667;"Biota";"PFOS";"Org";0.06109732;"All";"+";"H";"H";"All"
"473";20.75;55.91667;"Biota";"PFOS";"Org";0.04206366;"All";"+";"H";"H";"All"
"473";20.75;55.91667;"Biota";"PFOS";"Org";0.086326358;"All";"+";"H";"H";"All"
"475";20.75;55.58333;"Biota";"HG";"HM";0.65;"All";"+";"H";"H";"All"
"475";20.75;55.58333;"Biota";"HG";"HM";1.400767522;"All";"+";"H";"H";"All"
"475";20.75;55.58333;"Biota";"HG";"HM";1.991343967;"All";"+";"H";"H";"All"
"475";20.75;55.58333;"Biota";"PB";"HM";2.487632168;"All";"+";"H";"H";"All"
"475";20.75;55.58333;"Biota";"PB";"HM";2.342083242;"All";"+";"H";"H";"All"
"475";20.75;55.58333;"Biota";"PFOS";"Org";0.025714286;"All";"+";"H";"H";"All"
"475";20.75;55.58333;"Biota";"PFOS";"Org";0.036813187;"All";"+";"H";"H";"All"
"476";20.75;55.41667;"Biota";"HG";"HM";2.25;"All";"+";"H";"H";"All"
"476";20.75;55.41667;"Biota";"HG";"HM";1.5;"All";"+";"H";"H";"All"
"476";20.75;55.41667;"Biota";"HG";"HM";1.7;"All";"+";"H";"H";"All"
"476";20.75;55.41667;"Biota";"PB";"HM";3.461538462;"All";"+";"H";"H";"All"
"476";20.75;55.41667;"Biota";"PB";"HM";5.384615385;"All";"+";"H";"H";"All"
"4ZP";15.291;54.167;"Water";"CD";"HM";0.5;"All";"+";"H";"H";"All"
"4ZP";15.291;54.167;"Water";"PB";"HM";1.538461538;"All";"+";"H";"H";"All"
"505";20.58333;55.75;"Biota";"HG";"HM";1.05;"All";"+";"H";"H";"All"
"505";20.58333;55.75;"Biota";"HG";"HM";1.486606875;"All";"+";"H";"H";"All"
"505";20.58333;55.75;"Biota";"PB";"HM";1.923076923;"All";"+";"H";"H";"All"
"505";20.58333;55.75;"Biota";"PB";"HM";2.25910387;"All";"+";"H";"H";"All"
"506";20.58333;55.58333;"Biota";"HG";"HM";1.388655525;"All";"+";"H";"H";"All"
"506";20.58333;55.58333;"Biota";"HG";"HM";0.674516513;"All";"+";"H";"H";"All"
"506";20.58333;55.58333;"Biota";"HG";"HM";1.705480095;"All";"+";"H";"H";"All"
"506";20.58333;55.58333;"Biota";"PB";"HM";1.923076923;"All";"+";"H";"H";"All"
"506";20.58333;55.58333;"Biota";"PB";"HM";1.462786003;"All";"+";"H";"H";"All"
"506";20.58333;55.58333;"Biota";"PFOS";"Org";0.096703297;"All";"+";"H";"H";"All"
"506";20.58333;55.58333;"Biota";"PFOS";"Org";0.103296703;"All";"+";"H";"H";"All"
"506";20.58333;55.58333;"Biota";"PFOS";"Org";0.103296703;"All";"+";"H";"H";"All"
"534";20.41667;55.91667;"Biota";"HG";"HM";0.670820393;"All";"+";"H";"H";"All"
"534";20.41667;55.91667;"Biota";"HG";"HM";1.6;"All";"+";"H";"H";"All"
"534";20.41667;55.91667;"Biota";"HG";"HM";3.8;"All";"+";"H";"H";"All"
"534";20.41667;55.91667;"Biota";"PB";"HM";1.923076923;"All";"+";"H";"H";"All"
"534";20.41667;55.91667;"Biota";"PB";"HM";3;"All";"+";"H";"H";"All"
"534";20.41667;55.91667;"Biota";"PFOS";"Org";0.173626374;"All";"+";"H";"H";"All"
"535";20.41667;55.75;"Biota";"HG";"HM";1.06653645;"All";"+";"H";"H";"All"
"535";20.41667;55.75;"Biota";"HG";"HM";1.747855829;"All";"+";"H";"H";"All"
